LocationID,DepthBase,Inclination,Orientation
WH_001,50,90,0
WH_002,50,90,0
WH_003,50,90,0
WH_004,50,90,0
WH_005,50,90,0
WH_006,50,90,0
WH_007,50,90,0
WH_008,50,90,0
WH_009,50,90,0
WH_010,50,90,0
WH_011,50,90,0
WH_017,50,90,0
WH_018,50,90,0
WH_023,300,90,0
WH_024,300,90,0
WH_025,300,90,0
WH_029,300,90,0
WH_030,300,90,0
WH_031,300,90,0
WH_032,300,90,0
WH_036,50,90,0
WH_085,150,90,0
WH_086,150,90,0
WH_087,150,90,0
WH_088,100,90,0
WH_089,150,90,0
WH_090,150,90,0
WH_091,150,90,0
WH_001A,50,90,0
WH_002A,50,90,0
WH_003A,50,90,0
WH_004A,50,90,0
WH_005A,50,90,0
WH_006A,50,90,0
WH_007A,50,90,0
WH_008A,50,90,0
WH_009A,50,90,0
WH_010A,50,90,0
WH_011A,50,90,0
WH_012,300,90,0
WH_012A,300,90,0
WH_013,300,90,0
WH_013A,300,90,0
WH_014,300,90,0
WH_014A,300,90,0
WH_015,300,90,0
WH_015A,300,90,0
WH_016,300,90,0
WH_016A,300,90,0
WH_017A,50,90,0
WH_018A,50,90,0
WH_019,300,90,0
WH_019A,300,90,0
WH_020,300,90,0
WH_020A,300,90,0
WH_021,300,90,0
WH_021A,300,90,0
WH_022,300,90,0
WH_022A,300,90,0
WH_023A,300,90,0
WH_024A,300,90,0
WH_025A,300,90,0
WH_026,50,90,0
WH_026A,50,90,0
WH_027,50,90,0
WH_027A,50,90,0
WH_028,50,90,0
WH_028A,50,90,0
WH_029A,300,90,0
WH_030A,300,90,0
WH_031A,300,90,0
WH_032A,300,90,0
WH_033,300,90,0
WH_033A,300,90,0
WH_034,300,90,0
WH_034A,300,90,0
WH_035,300,90,0
WH_035A,300,90,0
WH_036A,50,90,0
WH_037,50,90,0
WH_037A,50,90,0
WH_038,50,90,0
WH_038A,50,90,0
WH_039,50,90,0
WH_039A,50,90,0
WH_040,50,90,0
WH_040A,50,90,0
WH_041,50,90,0
WH_041A,50,90,0
WH_042,50,90,0
WH_042A,50,90,0
WH101,0,90,0
WH101,60,90,0
WH102,0,90,0
WH102,150,90,0
WH103,0,90,0
WH103,200,90,0
WH104,0,90,0
WH104,210,90,0
WH105,0,90,0
WH105,150,90,0
WH106,0,90,0
WH106,120,90,0
WH107,0,90,0
WH107,80,90,0
WH108,0,90,0
WH108,50,90,0
