em_iteration_epoch,epoch,loglik_epoch,step,train/em_iteration,train/loglik,train/loglik_change
100.0,0,-121.14712524414062,0,50.5,-94.95775604248047,2.0282692909240723
100.0,1,-121.14712524414062,1,,,
100.0,2,-121.14712524414062,2,,,
100.0,3,-121.14712524414062,3,,,
100.0,4,-121.14712524414062,4,,,
100.0,5,-121.14712524414062,5,,,
100.0,6,-121.14712524414062,6,,,
100.0,7,-121.14712524414062,7,,,
100.0,8,-121.14712524414062,8,,,
100.0,9,-121.14712524414062,9,,,
100.0,10,-121.14712524414062,10,,,
