text,label
"Absolutely fantastic product! Exceeded all my expectations. Highly recommend!",positive
"Terrible quality. Broke after one use. Complete waste of money.",negative
"The item works as described. Nothing special but does the job.",neutral
"Best purchase I've made this year! Amazing value and quality!",positive
"Very disappointing. Poor customer service and defective product.",negative
"Standard product. Arrived on time. No complaints or praise.",neutral
"Love it! Perfect for my needs. Will buy again!",positive
"Awful experience. Would give zero stars if I could.",negative
"It's okay. Average quality for the price.",neutral
"Incredible! This changed my life! Thank you!",positive
"Do not buy this. Save your money. Complete disaster.",negative
"The product arrived. It matches the description.",neutral
"Outstanding quality! Better than advertised!",positive
"Horrible. Cheaply made. Fell apart immediately.",negative
"Functional. Does what it says. Neither good nor bad.",neutral
"Exceptional! Five stars! Couldn't be happier!",positive
"Worst purchase ever. Regret buying this.",negative
"Decent product. Fair price. No issues.",neutral
"Brilliant! Exactly what I needed! Perfect!",positive
"Garbage. Total ripoff. Very angry with this purchase.",negative
"The item is fine. Works normally. As expected.",neutral
"Superb quality! Impressed with the craftsmanship!",positive
"Junk. Broke on arrival. Returning immediately.",negative
"Adequate. Serves its purpose. Nothing remarkable.",neutral
"Magnificent! Best in class! Totally worth it!",positive
"Pathetic quality. Feels cheap. Not recommended.",negative
"Standard item. Average performance. Meets basic needs.",neutral
"Wonderful! Delighted with this purchase!",positive
"Defective product. Poor materials. Waste of time.",negative
"Normal quality. Does the job adequately.",neutral

